1617GeV-1637GeV : Integral=2.2, Divide_Bin_Width=0.1
1637GeV-1657GeV : Integral=2.0, Divide_Bin_Width=0.1
1657GeV-1678GeV : Integral=2.0, Divide_Bin_Width=0.1
1678GeV-1698GeV : Integral=1.7, Divide_Bin_Width=0.1
1698GeV-1719GeV : Integral=1.7, Divide_Bin_Width=0.1
1719GeV-1740GeV : Integral=1.6, Divide_Bin_Width=0.1
1740GeV-1762GeV : Integral=1.5, Divide_Bin_Width=0.1
1762GeV-1783GeV : Integral=1.4, Divide_Bin_Width=0.1
1783GeV-1805GeV : Integral=1.3, Divide_Bin_Width=0.1
1805GeV-1827GeV : Integral=1.2, Divide_Bin_Width=0.1
1827GeV-1850GeV : Integral=1.2, Divide_Bin_Width=0.1
1850GeV-1873GeV : Integral=1.1, Divide_Bin_Width=0.0
1873GeV-1895GeV : Integral=1.0, Divide_Bin_Width=0.0
1895GeV-1919GeV : Integral=1.0, Divide_Bin_Width=0.0
1919GeV-1942GeV : Integral=0.9, Divide_Bin_Width=0.0
1942GeV-1966GeV : Integral=0.9, Divide_Bin_Width=0.0
1966GeV-1990GeV : Integral=0.8, Divide_Bin_Width=0.0
1990GeV-2014GeV : Integral=0.7, Divide_Bin_Width=0.0
2014GeV-2039GeV : Integral=0.7, Divide_Bin_Width=0.0
2039GeV-2064GeV : Integral=0.7, Divide_Bin_Width=0.0
2064GeV-2089GeV : Integral=0.6, Divide_Bin_Width=0.0
2089GeV-2115GeV : Integral=0.6, Divide_Bin_Width=0.0
2115GeV-2141GeV : Integral=0.6, Divide_Bin_Width=0.0
2141GeV-2167GeV : Integral=0.5, Divide_Bin_Width=0.0
2167GeV-2193GeV : Integral=0.5, Divide_Bin_Width=0.0
2193GeV-2220GeV : Integral=0.5, Divide_Bin_Width=0.0
2220GeV-2247GeV : Integral=0.4, Divide_Bin_Width=0.0
2247GeV-2275GeV : Integral=0.4, Divide_Bin_Width=0.0
2275GeV-2303GeV : Integral=0.4, Divide_Bin_Width=0.0
2303GeV-2331GeV : Integral=0.4, Divide_Bin_Width=0.0
2331GeV-2359GeV : Integral=0.3, Divide_Bin_Width=0.0
2359GeV-2388GeV : Integral=0.3, Divide_Bin_Width=0.0
2388GeV-2417GeV : Integral=0.3, Divide_Bin_Width=0.0
2417GeV-2447GeV : Integral=0.3, Divide_Bin_Width=0.0
2447GeV-2477GeV : Integral=0.3, Divide_Bin_Width=0.0
2477GeV-2507GeV : Integral=0.2, Divide_Bin_Width=0.0
2507GeV-2537GeV : Integral=0.2, Divide_Bin_Width=0.0
2537GeV-2568GeV : Integral=0.2, Divide_Bin_Width=0.0
2568GeV-2600GeV : Integral=0.2, Divide_Bin_Width=0.0
2600GeV-2631GeV : Integral=0.2, Divide_Bin_Width=0.0
2631GeV-2663GeV : Integral=0.2, Divide_Bin_Width=0.0
2663GeV-2696GeV : Integral=0.2, Divide_Bin_Width=0.0
2696GeV-2729GeV : Integral=0.1, Divide_Bin_Width=0.0
2729GeV-2762GeV : Integral=0.1, Divide_Bin_Width=0.0
2762GeV-2795GeV : Integral=0.1, Divide_Bin_Width=0.0
2795GeV-2830GeV : Integral=0.1, Divide_Bin_Width=0.0
2830GeV-2864GeV : Integral=0.1, Divide_Bin_Width=0.0
2864GeV-2899GeV : Integral=0.1, Divide_Bin_Width=0.0
2899GeV-2934GeV : Integral=0.1, Divide_Bin_Width=0.0
2934GeV-2970GeV : Integral=0.1, Divide_Bin_Width=0.0
2970GeV-3006GeV : Integral=0.1, Divide_Bin_Width=0.0
3006GeV-3042GeV : Integral=0.1, Divide_Bin_Width=0.0
3042GeV-3079GeV : Integral=0.1, Divide_Bin_Width=0.0
3079GeV-3117GeV : Integral=0.1, Divide_Bin_Width=0.0
3117GeV-3155GeV : Integral=0.1, Divide_Bin_Width=0.0
3155GeV-3193GeV : Integral=0.1, Divide_Bin_Width=0.0
3193GeV-3232GeV : Integral=0.1, Divide_Bin_Width=0.0
3232GeV-3271GeV : Integral=0.1, Divide_Bin_Width=0.0
3271GeV-3311GeV : Integral=0.0, Divide_Bin_Width=0.0
3311GeV-3351GeV : Integral=0.0, Divide_Bin_Width=0.0
3351GeV-3392GeV : Integral=0.0, Divide_Bin_Width=0.0
3392GeV-3433GeV : Integral=0.0, Divide_Bin_Width=0.0
3433GeV-3475GeV : Integral=0.0, Divide_Bin_Width=0.0
3475GeV-3517GeV : Integral=0.0, Divide_Bin_Width=0.0
3517GeV-3560GeV : Integral=0.0, Divide_Bin_Width=0.0
3560GeV-3603GeV : Integral=0.0, Divide_Bin_Width=0.0
3603GeV-3647GeV : Integral=0.0, Divide_Bin_Width=0.0
3647GeV-3691GeV : Integral=0.0, Divide_Bin_Width=0.0
3691GeV-3736GeV : Integral=0.0, Divide_Bin_Width=0.0
3736GeV-3781GeV : Integral=0.0, Divide_Bin_Width=0.0
3781GeV-3827GeV : Integral=0.0, Divide_Bin_Width=0.0
3827GeV-3873GeV : Integral=0.0, Divide_Bin_Width=0.0
3873GeV-3920GeV : Integral=0.0, Divide_Bin_Width=0.0
3920GeV-3968GeV : Integral=0.0, Divide_Bin_Width=0.0
3968GeV-4016GeV : Integral=0.0, Divide_Bin_Width=0.0
